Title,Year,Duration,Genre,Rating
Ad Astra,2019,123 min,"Adventure, Drama, Mystery",6.5
Star Trek Beyond,2016,122 min,"Action, Adventure, Sci-Fi",7.0
The Duchess,2008,110 min,"Biography, Drama, History",6.9
RoboCop,1987,102 min,"Action, Crime, Sci-Fi",7.6
Nocturnal Animals,2016,116 min,"Drama, Thriller",7.5
Nightcrawler,2014,117 min,"Crime, Drama, Thriller",7.8
The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8
L.A. Confidential,1997,138 min,"Crime, Drama, Mystery",8.2
Jackie Brown,1997,154 min,"Crime, Drama, Thriller",7.5
The Cell,2000,107 min,"Crime, Horror, Sci-Fi",6.4
Lo imposible,2012,114 min,"Adventure, Drama, History",7.5
Blue Velvet,1986,120 min,"Crime, Drama, Mystery",7.7
JFK,1991,189 min,"Drama, History, Thriller",8.0
13 Hours,2016,144 min,"Action, Drama, History",7.3
X-Men: Days of Future Past,2014,132 min,"Action, Adventure, Sci-Fi",7.9
Training Day,2001,122 min,"Action, Crime, Drama",7.7
Mystic River,2003,138 min,"Crime, Drama, Mystery",7.9
Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.7
The Fugitive,1993,130 min,"Action, Crime, Drama",7.8
Lethal Weapon,1987,109 min,"Action, Crime, Thriller",7.6
Passengers,2016,116 min,"Drama, Romance, Sci-Fi",7.0
Skyfall,2012,143 min,"Action, Adventure, Thriller",7.8
Minority Report,2002,145 min,"Action, Crime, Mystery",7.6
Clear and Present Danger,1994,141 min,"Action, Crime, Drama",6.9
The Lobster,2015,119 min,"Drama, Romance, Sci-Fi",7.1
Speed,1994,116 min,"Action, Adventure, Thriller",7.3
Traffic,2000,147 min,"Crime, Drama, Thriller",7.6
The Hunt for Red October,1990,135 min,"Action, Adventure, Thriller",7.5
The Lovely Bones,2009,135 min,"Drama, Fantasy, Thriller",6.6
District 9,2009,112 min,"Action, Sci-Fi, Thriller",7.9
Space Cowboys,2000,130 min,"Action, Adventure, Thriller",6.5
The Rock,1996,136 min,"Action, Adventure, Thriller",7.4
Twister,1996,113 min,"Action, Adventure, Thriller",6.5
In Bruges,2008,107 min,"Comedy, Crime, Drama",7.9
Room,2015,118 min,"Drama, Thriller",8.1
Flight,2012,138 min,"Drama, Thriller",7.3
WarGames,1983,114 min,"Action, Drama, Sci-Fi",7.1
Zero Dark Thirty,2012,157 min,"Drama, History, Thriller",7.4
The Mask of Zorro,1998,136 min,"Action, Adventure, Comedy",6.8
Children of Men,2006,109 min,"Action, Drama, Sci-Fi",7.9
Contact,1997,150 min,"Drama, Mystery, Sci-Fi",7.5
Sleepers,1996,147 min,"Crime, Drama, Thriller",7.5
Hell or High Water,2016,102 min,"Crime, Drama, Thriller",7.6
The Firm,1993,154 min,"Drama, Mystery, Thriller",6.8
Ghost,1990,127 min,"Drama, Fantasy, Romance",7.1
Sweeney Todd: The Demon Barber of Fleet Street,2007,116 min,"Drama, Horror, Musical",7.3
Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi",7.8
Wanted,2008,110 min,"Action, Crime, Thriller",6.7
The Abyss,1989,140 min,"Adventure, Drama, Mystery",7.5
